全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2021,2,1,ごはん,★揚げぎょうざ,チンゲンサイのナムル,中華スープ,ヨーグルト,,,牛乳,640,840
232050,2021,2,2,ごはん,★いわしのかばやき,菜の花和え,筑前煮,★節分豆,,,牛乳,648,814
232050,2021,2,3,麦ごはん,冬野菜のビーフカレー,ハムステーキ,ツナと野菜のマリネ,★アーモンド入り小魚,,,牛乳,741,921
232050,2021,2,4,クロスロールパン,★一口カツ,海藻サラダ,野菜と豚肉のポトフ,いちごジャム,,,牛乳,705,873
232050,2021,2,5,ごはん,★さばの銀紙焼き,ひじきの炒め煮,★すいとん,★味付き乾燥豆腐,,,牛乳,667,828
232050,2021,2,6,,,,,,,,,,
232050,2021,2,7,,,,,,,,,,
232050,2021,2,8,ごはん,★えびしゅうまい,小松菜のナムル,マーボー豆腐,,,,牛乳,656,835
232050,2021,2,9,ごはん,★さわらの西京焼き,切り干し大根の甘酢和え,肉じゃが,★蒲郡みかんゼリー,,,牛乳,703,866
232050,2021,2,10,ごはん,★いかフライ,野菜とわかめの和え物,名古屋コーチンのひきずり,,,,牛乳,669,834
232050,2021,2,11,,,,,,,,,,
232050,2021,2,12,愛知の米粉入りパン,★ハンバーグのデミグラスソース,イタリアンサラダ,豆乳クリームシチュー,★チョコプリン,,,牛乳,717,794
232050,2021,2,13,,,,,,,,,,
232050,2021,2,14,,,,,,,,,,
232050,2021,2,15,ごはん,★さばのみそ煮,ほうれん草の磯香和え,けんちん汁,★一口りんごゼリー,,,牛乳,608,772
232050,2021,2,16,ソフトめん,ミートソース,れんこんサラダ,コーンクリーミードレッシング,★フルーツのゼリー和え,,,牛乳,727,886
232050,2021,2,17,ごはん,★チキン竜田揚げ,まぐろと野菜の和え物,生揚げの中華煮,キャンディーチーズ,,,牛乳,753,948
232050,2021,2,18,ごはん,ビビンバ(肉),ビビンバ(かみかみナムル),ビーフンスープ,ヨーグルト,,,牛乳,662,827
232050,2021,2,19,ごはん,★かつおフライ,きんぴらごぼう,半田の卵のかきたま汁,,,,牛乳,637,822
232050,2021,2,20,,,,,,,,,,
232050,2021,2,21,,,,,,,,,,
232050,2021,2,22,麦ごはん,愛知県産牛肉のハヤシライス,豆豆サラダ,みかん,,,,牛乳,643,803
232050,2021,2,23,,,,,,,,,,
232050,2021,2,24,ごはん,★あじフライのレモンソース,だいコーンサラダ,豚汁,※半田中・成岩中・青山中３年お祝い給食別メニュー,,,牛乳,681,845
232050,2021,2,25,ミルクロールパン,鶏肉のハーブ焼き,コールスローサラダ,オニオンスープ,★ココア牛乳の素,※乙川中・亀崎中３年お祝い給食別メニュー,,牛乳,638,779
232050,2021,2,26,ごはん,★れんこんサンドフライ,三色和え,玉ふ汁,★乾燥小魚,,,牛乳,558,732
232050,2021,2,27,,,,,,,,,,
232050,2021,2,28,,,,,,,,,,
