全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2021,3,1,ごはん,うなぎごはんの具,野菜とわかめの和え物,大根と豚肉の煮物,★お祝いデザート（中学校のみ）,,,牛乳,655,852
232050,2021,3,2,うどん,カレー南蛮,★コロッケ,元気サラダ,,,,牛乳,694,814
232050,2021,3,3,ごはん,★ちらしずしのぐ,★さわらのさいきょうやき,けんちんじる,★ひなあられ,,,牛乳,609,
232050,2021,3,4,くろロールパン,ハムステーキ,キャベツサラダ,ミネストローネ,★ココア牛乳のもと,,,牛乳,644,792
232050,2021,3,5,ごはん,★ホキフライ,たくあんの和え物,みそ汁,,,,牛乳,620,774
232050,2021,3,6,,,,,,,,,,
232050,2021,3,7,,,,,,,,,,
232050,2021,3,8,ごはん,★いわしの梅煮,切り干し大根の甘酢和え,親子煮,,,,牛乳,663,826
232050,2021,3,9,ごはん,★しゅうまい,ひじきの中華和え,八宝菜,★蒲郡みかんゼリー,,,牛乳,654,823
232050,2021,3,10,ごはん,さばの塩焼き,キャベツの昆布和え,豚汁,,,,牛乳,658,818
232050,2021,3,11,サンドイッチバンズパン,★ハンバーグのケチャップソースかけ,れんこんサラダ,コーンクリーミードレッシング,かぶの豆乳シチュー,,,牛乳,695,862
232050,2021,3,12,ごはん,★五目厚焼き卵,ゆかり和え,すき焼き風煮,★一口ピーチゼリー,,,牛乳,667,887
232050,2021,3,13,,,,,,,,,,
232050,2021,3,14,,,,,,,,,,
232050,2021,3,15,ごはん,★ぶりのみりん焼き,ひじきの炒め煮,のっぺい汁,,,,牛乳,595,747
232050,2021,3,16,麦ごはん,ビビンバ（肉）,ビビンバ（ナムル）,春雨とわかめの中華スープ,ヨーグルト,,,牛乳,656,819
232050,2021,3,17,りんごパン,フランクフルトバーベキューソース,イタリアンサラダ,ポークビーンズ,★おいわいデザート（小学校のみ）,,,牛乳,677,811
232050,2021,3,18,ごはん,★いかフライ,ごぼうサラダ,サウザンアイランドドレッシング,生揚げのうま煮,,,牛乳,740,907
232050,2021,3,19,ごはん,鶏肉のから揚げ,大根サラダ,かきたま汁,,,,牛乳,,856
232050,2021,3,20,,,,,,,,,,
232050,2021,3,21,,,,,,,,,,
232050,2021,3,22,ごはん,★さばの銀紙焼き,ほうれん草とツナの和え物,★すいとん,★一口りんごゼリー,,,牛乳,641,815
232050,2021,3,23,麦ごはん,知多牛のカレー,★とんかつ,コールスローサラダ,★乾燥小魚,,,牛乳,802,996
232050,2021,3,24,,,,,,,,,,
232050,2021,3,25,,,,,,,,,,
232050,2021,3,26,,,,,,,,,,
232050,2021,3,27,,,,,,,,,,
232050,2021,3,28,,,,,,,,,,
232050,2021,3,29,,,,,,,,,,
232050,2021,3,30,,,,,,,,,,
232050,2021,3,31,,,,,,,,,,
