全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2021,1,1,,,,,,,,,,
232050,2021,1,2,,,,,,,,,,
232050,2021,1,3,,,,,,,,,,
232050,2021,1,4,,,,,,,,,,
232050,2021,1,5,,,,,,,,,,
232050,2021,1,6,,,,,,,,,,
232050,2021,1,7,,,,,,,,,,
232050,2021,1,8,ごはん,★さわらの西京焼き,紅白なます,五目雑煮,乾燥黒豆,,,牛乳,627,780
232050,2021,1,9,,,,,,,,,,
232050,2021,1,10,,,,,,,,,,
232050,2021,1,11,,,,,,,,,,
232050,2021,1,12,麦ごはん,カレー,豆豆サラダ,マヨネーズ,れんこんチップス,ヨーグルト,,牛乳,760,957
232050,2021,1,13,ごはん,★ハンバーグのきのこソース,チンゲンサイのお浸し,芋の子汁,,,,牛乳,613,783
232050,2021,1,14,くろロールパン,鶏肉のハーブ焼き,れんこんと水菜のサラダ,白菜の豆乳スープ,★ココア牛乳の素,,,牛乳,674,825
232050,2021,1,15,ごはん,★ホキの中華あん,★えび団子スープ,みかん,,,,牛乳,596,750
232050,2021,1,16,,,,,,,,,,
232050,2021,1,17,,,,,,,,,,
232050,2021,1,18,ミルクロールパン,チリコンカーン,焼きフランク,コーンサラダ,,,,牛乳,707,875
232050,2021,1,19,きしめん,和風汁,ちくわの磯辺揚げ,キャベツのゆかり和え,★アーモンド入り小魚,,,牛乳,635,774
232050,2021,1,20,ごはん,★愛知のしそ入り鶏春巻き,もやしのナムル,マーボー豆腐,,,,牛乳,695,860
232050,2021,1,21,ごはん,★いわしのみぞれ煮,白菜とキャベツの昆布和え,凍り豆腐の卵とじ,★蒲郡みかんゼリー,,,牛乳,618,819
232050,2021,1,22,麦ごはん,ハヤシライス,★じゃがいものチーズ蒸し,コールスローサラダ,,,,牛乳,623,767
232050,2021,1,23,,,,,,,,,,
232050,2021,1,24,,,,,,,,,,
232050,2021,1,25,ごはん,愛知県産納豆,小松菜とツナの和え物,みそおでん,,,,牛乳,614,752
232050,2021,1,26,ごはん,★たこのから揚げ,ブロッコリーのごま和え,名古屋コーチンのひきずり,,,,牛乳,661,829
232050,2021,1,27,愛知の米粉入りパン,★にぎすフライ,愛知の冬野菜入り豆乳シチュー,ぽんかん,,,,牛乳,635,726
232050,2021,1,28,ごはん,醸すだれチキン,ほうれんそうの磯香和え,★玄米団子汁,ヨーグルト,,,牛乳,695,865
232050,2021,1,29,ごはん,★ぶりのみりん焼き,野菜とえのきの和え物,根菜のみそ汁,★鬼まんじゅう,,,牛乳,660,810
232050,2021,1,30,,,,,,,,,,
232050,2021,1,31,,,,,,,,,,
