全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2020,9,1,クロスロールパン,ハムステーキ,野菜のスープ煮,巨峰,,,,牛乳,596,754
232050,2020,9,2,麦ごはん,ハヤシライス,★チキンの竜田揚げ,ベーコンと小松菜のソテー,,,,牛乳,693,689
232050,2020,9,3,ごはん,★ごぼう入りつくね,野菜とわかめの和え物,ひきずり,★蒲郡みかんゼリー,,,牛乳,661,834
232050,2020,9,4,ごはん,★とんかつ,ひじきの炒め煮,けんちん汁,,,,牛乳,682,848
232050,2020,9,5,,,,,,,,,,
232050,2020,9,6,,,,,,,,,,
232050,2020,9,7,ごはん,★さんまの銀紙焼き,枝豆,沢煮椀,★一口ピーチゼリー,,,牛乳,650,802
232050,2020,9,8,スライスパン,★ハンバーグのケチャップソース,キャベツのレモン風味,オニオンスープ,いちごジャム,,,牛乳,632,788
232050,2020,9,9,ごはん,さけと青菜ごはんの具,★里芋コロッケ,とうがん汁,★味付き乾燥豆腐,,,牛乳,640,791
232050,2020,9,10,ごはん,★えびしゅうまい,バンバンジーサラダ,マーボーなす,,,,牛乳,634,811
232050,2020,9,11,わかめごはん,★れんこんサンドフライ,ゴーヤチャンプル,豚汁,,,,牛乳,627,799
232050,2020,9,12,,,,,,,,,,
232050,2020,9,13,,,,,,,,,,
232050,2020,9,14,ごはん,★けんちん信田の肉みそかけ,キャベツのゆかり和え,大根と豚肉の煮物,,,,牛乳,649,808
232050,2020,9,15,うどん,和風汁,ちくわの磯辺揚げ,★梨ゼリーポンチ,,,,牛乳,641,778
232050,2020,9,16,愛知の米粉入りパン,フランクフルトのバーベキューソース,ブロッコリーサラダ,ポークビーンズ,,,,牛乳,680,797
232050,2020,9,17,ごはん,★かつおのおかか煮,いかとわかめの酢の物,親子煮,,,,牛乳,648,810
232050,2020,9,18,ごはん,★ささみ梅しそフライ,切り干し大根の煮物,里芋のみそ汁,,,,牛乳,643,798
232050,2020,9,19,,,,,,,,,,
232050,2020,9,20,,,,,,,,,,
232050,2020,9,21,,,,,,,,,,
232050,2020,9,22,,,,,,,,,,
232050,2020,9,23,ごはん,★いわしの梅煮,じゃがいものそぼろ煮,きゅうりとたくあんの和え物,,,,牛乳,671,837
232050,2020,9,24,りんごパン,★オムレツのきのこソース,だいコーンサラダ,なすとトマトのスパゲティ,,,,牛乳,657,816
232050,2020,9,25,ごはん,ビビンバ（肉）,ビビンバ（ナムル）,ビーフンスープ,ヨーグルト,,,牛乳,659,824
232050,2020,9,26,,,,,,,,,,
232050,2020,9,27,,,,,,,,,,
232050,2020,9,28,ごはん,鶏肉のハーブ焼き,ツナサラダ,クリームスープ,,,,牛乳,688,853
232050,2020,9,29,中華めん,五目中華スープ,★春巻き,バンサンスー,★アーモンド入り小魚,,,牛乳,660,803
232050,2020,9,30,ごはん,きのこごはんの具,さばのおろしかけ,たまふ汁,,,,牛乳,666,830
