全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2020,12,1,麦ごはん,ハヤシライス,★愛知の野菜入りコロッケ,だいコーンサラダ,★乾燥小魚,,,牛乳,679,853
232050,2020,12,2,ごはん,★えびしゅうまい,ひじきの中華和え,マーボー豆腐,,,,牛乳,682,866
232050,2020,12,3,りんごパン,ハムステーキ,おいもサラダ,マヨネーズ,豆乳のコーンスープ,キャンディチーズ,,牛乳,750,925
232050,2020,12,4,ごはん,★かつおフライ,きんぴらごぼう,豚汁,,,,牛乳,641,829
232050,2020,12,5,,,,,,,,,,
232050,2020,12,6,,,,,,,,,,
232050,2020,12,7,ごはん,さばの塩焼き,ゆかり和え,肉じゃが,,,,牛乳,701,869
232050,2020,12,8,わかめごはん,★けんちん信田肉みそかけ,★すいとん,りんご,,,,牛乳,674,838
232050,2020,12,9,愛知の米粉入りパン,★ハンバーグのきのこソースかけ,ごぼうサラダ,和風クリーミードレッシング,ポークビーンズ,,,牛乳,742,873
232050,2020,12,10,ごはん,鶏肉のから揚げ,小松菜のナムル,ビーフンスープ,,,,牛乳,631,786
232050,2020,12,11,麦ごはん,肉ひじきごはんの具,★さんまの銀紙焼き,けんちん汁,,,,牛乳,658,817
232050,2020,12,12,,,,,,,,,,
232050,2020,12,13,,,,,,,,,,
232050,2020,12,14,ごはん,★五目厚焼き卵,ブロッコリーのごま和え,すきやき風煮,,,,牛乳,668,838
232050,2020,12,15,ソフトめん,肉みそかけ,★まぐろと大豆の甘辛,みかん,,,,牛乳,764,944
232050,2020,12,16,ごはん,★いわしの梅煮,白菜とキャベツの昆布和え,大根と豚肉の煮物,★味付き乾燥豆腐,,,牛乳,610,766
232050,2020,12,17,麦ごはん,ビビンバ（肉）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,,,牛乳,652,815
232050,2020,12,18,ごはん,★キャベツ入りつくね,切り干し大根の甘酢和え,親子煮,★アーモンド入り小魚,,,牛乳,667,834
232050,2020,12,19,,,,,,,,,,
232050,2020,12,20,,,,,,,,,,
232050,2020,12,21,ごはん,カレー,鶏肉のハーブ焼き,ブロッコリーとかぼちゃのサラダ,セレクトデザートブッシュドノエル,セレクトデザートいちごゼリー,セレクトデザートお米と豆乳のケーキ,牛乳,787,953
232050,2020,12,22,ごはん,うなぎごはんの具,小松菜とツナの和え物,のっぺい汁,★蒲郡みかんゼリー,,,牛乳,689,843
232050,2020,12,23,,,,,,,,,,
232050,2020,12,24,,,,,,,,,,
232050,2020,12,25,,,,,,,,,,
232050,2020,12,26,,,,,,,,,,
232050,2020,12,27,,,,,,,,,,
232050,2020,12,28,,,,,,,,,,
232050,2020,12,29,,,,,,,,,,
232050,2020,12,30,,,,,,,,,,
232050,2020,12,31,,,,,,,,,,
